state_name,state,state_fips,year,Population,Unemploymentrate,Personalincome,StateMinimumWage
AL,1,1,1980,3893888,8.9,30864240,3.1
AK,2,2,1980,401851,9.6,6204950,3.6
AZ,3,4,1980,2718215,6.6,26363186,3.1
AR,4,5,1980,2286435,7.6,17371177,2.55
CA,5,6,1980,23667902,6.8,283852405,3.1
CO,6,8,1980,2889964,5.8,31667476,1.9
CT,7,9,1980,3107576,5.8,38457972,3.12
DE,8,10,1980,594338,7.6,6428975,2
DC,9,11,1980,638333,7.4,8355120,3.1
FL,10,12,1980,9746324,6.1,100174719,3.1
GA,11,13,1980,5463105,6.3,46930712,1.25
HI,12,15,1980,964691,5.0,11460741,3.1
ID,13,16,1980,943935,7.5,8316840,3.1
IL,14,17,1980,11426518,8.2,125267355,2.3
IN,15,18,1980,5490224,9.6,51176800,3.1
IA,16,19,1980,2913808,6.0,27990985,3.1
KS,17,20,1980,2363679,4.4,23851556,3.1
KY,18,21,1980,3660777,8.0,29770590,2.15
LA,19,22,1980,4205900,6.9,37068679,3.1
ME,20,23,1980,1124660,7.6,9584669,3.1
MD,21,24,1980,4216975,6.6,48538857,3.1
MA,22,25,1980,5737037,5.6,61455326,3.1
MI,23,26,1980,9262078,12.3,94142514,3.1
MN,24,27,1980,4075970,5.8,41697467,2.9
MS,25,28,1980,2520638,7.4,17998291,3.1
MO,26,29,1980,4916686,7.2,46090765,3.1
MT,27,30,1980,786690,6.1,7210173,2.5
NE,28,31,1980,1569825,3.9,14761594,3.1
NV,29,32,1980,800493,6.2,9565424,2.75
NH,30,33,1980,920610,4.5,9274186,3.1
NJ,31,34,1980,7364823,7.2,86955685,3.1
NM,32,35,1980,1302894,7.6,11219375,2.9
NY,33,36,1980,17558072,7.5,193182470,3.1
NC,34,37,1980,5881766,6.4,48934688,2.9
ND,35,38,1980,652717,4.9,5279606,3.1
OH,36,39,1980,10797630,8.4,107027918,3.1
OK,37,40,1980,3025290,4.4,29132371,3.1
OR,38,41,1980,2633105,8.5,26825715,2.9
PA,39,42,1980,11863895,8.0,118970218,3.1
RI,40,44,1980,947154,7.2,9335325,2.9
SC,41,45,1980,3121820,6.7,24830814,3.1
SD,42,46,1980,690768,4.8,5719001,2.3
TN,43,47,1980,4591120,7.4,38000362,3.1
TX,44,48,1980,14229191,5.1,142639001,3.1
UT,45,49,1980,1461037,6.2,12172076,2.6
VT,46,50,1980,511456,6.2,4469318,3.1
VA,47,51,1980,5346818,5.2,56563481,2.65
WA,48,53,1980,4132156,8.1,45791768,3.1
WV,49,54,1980,1949644,9.5,15557866,2.2
WI,50,55,1980,4705767,7.2,47052952,3
WY,51,56,1980,469557,3.9,5451246,1.6
AL,1,1,1981,3918531,10.6,34263541,3.35
AK,2,2,1981,418491,9.4,7057192,3.85
AZ,3,4,1981,2810107,6.2,30118690,3.35
AR,4,5,1981,2293201,8.7,19657239,2.7
CA,5,6,1981,24285933,7.4,318833657,3.35
CO,6,8,1981,2977898,5.7,36459220,1.9
CT,7,9,1981,3128836,6.2,43173687,3.37
DE,8,10,1981,595975,7.8,7076416,2
DC,9,11,1981,636893,8.9,8971160,3.35
FL,10,12,1981,10192774,6.7,115826766,3.35
GA,11,13,1981,5568345,6.4,53090574,1.25
HI,12,15,1981,978195,5.4,12391045,3.35
ID,13,16,1981,962204,7.7,9171608,3.35
IL,14,17,1981,11443458,8.5,138797538,2.3
IN,15,18,1981,5480435,9.9,56129291,3.35
IA,16,19,1981,2907983,6.6,31667179,3.35
KS,17,20,1981,2384849,4.3,27024244,3.35
KY,18,21,1981,3670394,8.6,33114794,2.15
LA,19,22,1981,4283303,8.4,42736140,3.35
ME,20,23,1981,1133033,7.4,10586283,3.35
MD,21,24,1981,4261905,7.3,53951891,3.35
MA,22,25,1981,5768685,6.5,68461988,3.35
MI,23,26,1981,9209287,12.4,100693108,3.35
MN,24,27,1981,4111728,5.8,46202501,3.1
MS,25,28,1981,2539036,8.5,20205005,3.35
MO,26,29,1981,4932064,7.6,51466552,3.35
MT,27,30,1981,795328,6.8,8185714,2.5
NE,28,31,1981,1578515,4.2,17127803,3.35
NV,29,32,1981,847655,7.2,10882149,2.75
NH,30,33,1981,936621,5.2,10505613,3.35
NJ,31,34,1981,7407472,7.4,97057434,3.35
NM,32,35,1981,1332748,7.3,12687802,3.35
NY,33,36,1981,17567734,7.6,215239003,3.35
NC,34,37,1981,5956653,6.5,55093632,2.9
ND,35,38,1981,659505,4.8,6914367,3.35
OH,36,39,1981,10788330,9.4,116356076,3.35
OK,37,40,1981,3096164,3.6,34025236,3.1
OR,38,41,1981,2667982,9.8,28976957,3.1
PA,39,42,1981,11858567,8.4,131279831,3.35
RI,40,44,1981,953013,7.8,10402978,3.1
SC,41,45,1981,3179255,8.1,27941168,3.35
SD,42,46,1981,689584,5.0,6647391,2.3
TN,43,47,1981,4627658,9.0,42287567,3.35
TX,44,48,1981,14746318,5.3,167739363,3.35
UT,45,49,1981,1515471,6.6,13724644,2.75
VT,46,50,1981,515594,5.8,5035413,3.35
VA,47,51,1981,5444097,6.0,63482516,3.35
WA,48,53,1981,4235731,9.6,51106487,3.35
WV,49,54,1981,1954124,10.6,16961583,2.75
WI,50,55,1981,4726343,8.0,51320993,3.25
WY,51,56,1981,491712,4.1,6230971,1.6
AL,1,1,1982,3925266,14.1,36197910,3.35
AK,2,2,1982,449606,9.9,8610173,3.85
AZ,3,4,1982,2889861,10.1,31884829,3.35
AR,4,5,1982,2294257,9.9,20676166,2.8
CA,5,6,1982,24820009,10.0,340836724,3.35
CO,6,8,1982,3061564,7.3,39984337,1.9
CT,7,9,1982,3139013,6.9,46616812,3.37
DE,8,10,1982,599148,8.4,7625571,2
DC,9,11,1982,634174,10.4,9567530,3.35
FL,10,12,1982,10471407,8.4,125266195,3.35
GA,11,13,1982,5649792,7.8,57498742,1.25
HI,12,15,1982,993780,6.3,13076982,3.35
ID,13,16,1982,973721,9.9,9563932,3.35
IL,14,17,1982,11423412,11.4,146883163,2.3
IN,15,18,1982,5467922,12.0,58057065,3.35
IA,16,19,1982,2888189,8.5,32599503,3.35
KS,17,20,1982,2401202,6.3,29305092,3.35
KY,18,21,1982,3683445,10.8,35287385,2.15
LA,19,22,1982,4352608,10.3,45907722,3.35
ME,20,23,1982,1136684,8.4,11464150,3.35
MD,21,24,1982,4282923,8.3,58495108,3.35
MA,22,25,1982,5771222,7.7,75054202,3.35
MI,23,26,1982,9115198,15.4,103937962,3.35
MN,24,27,1982,4131450,7.9,49470144,3.35
MS,25,28,1982,2556777,11.1,21340298,3.35
MO,26,29,1982,4929451,9.199999999999999,54991252,3.35
MT,27,30,1982,803986,8.5,8627306,2.75
NE,28,31,1982,1581780,5.6,18435447,3.35
NV,29,32,1982,881537,9.9,11641320,2.75
NH,30,33,1982,947719,6.8,11568428,3.35
NJ,31,34,1982,7430968,8.699999999999999,104844478,3.35
NM,32,35,1982,1363823,9.199999999999999,13849319,3.35
NY,33,36,1982,17589738,8.5,233470201,3.35
